person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes,loan_status
21,14858.0,0,2000.0,11.12,0.13,3,589.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
25,144855.0,1,32000.0,6.62,0.22,2,586.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
26,114645.0,2,31050.0,14.17,0.27,3,681.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
25,360803.035,3,24250.0,13.85,0.07,3,567.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
26,360803.035,1,7800.0,13.49,0.02,4,669.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
21,15150.0,0,2500.0,7.51,0.17,4,600.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
22,58868.0,0,30000.0,18.39,0.51,2,606.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,78026.0,3,30000.0,14.54,0.38,3,582.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
25,90785.0,4,30000.0,16.89,0.33,4,649.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,86811.0,0,30000.0,11.01,0.35,4,602.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
26,75503.0,5,30000.0,17.99,0.4,2,616.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
24,15082.0,0,2500.0,12.69,0.17,3,631.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
26,360803.035,5,20000.0,7.88,0.06,4,684.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
23,360803.035,0,24250.0,19.41,0.07,2,637.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
26,360680.0,5,10000.0,10.38,0.03,4,649.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
26,360803.035,5,25000.0,15.33,0.07,3,695.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,360803.035,2,18000.0,16.45,0.05,3,620.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
26,98230.0,2,30000.0,7.49,0.31,3,622.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
22,80838.0,0,30000.0,12.69,0.37,3,645.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
26,107957.0,2,30000.0,6.62,0.28,3,654.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
24,94649.0,2,30000.0,11.01,0.32,4,624.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
23,94550.0,1,30000.0,18.62,0.32,3,570.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
23,111153.0,3,30000.0,15.23,0.27,3,648.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
23,117250.0,0,30000.0,10.65,0.26,2,652.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
25,144985.0,3,30000.0,7.9,0.21,4,559.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
26,337133.0,7,10000.0,15.96,0.03,3,623.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
26,333566.0,2,20000.0,11.48,0.06,3,602.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
23,333399.0,1,35000.0,11.01,0.1,4,609.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25,154793.0,1,30000.0,7.29,0.19,4,573.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
24,15229.0,1,1750.0,11.01,0.11,3,631.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
21,158338.0,0,30000.0,5.99,0.19,4,623.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
22,331034.0,0,12000.0,11.58,0.04,2,602.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
26,316466.0,6,10000.0,11.01,0.03,4,579.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
25,267671.0,0,25000.0,15.7,0.09,2,582.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
22,85191.0,0,29100.0,15.99,0.34,3,700.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
22,15013.0,0,1500.0,14.84,0.1,3,688.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26,313100.0,3,28000.0,10.99,0.09,3,607.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
25,311952.0,0,20000.0,14.42,0.06,2,661.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
24,306897.0,5,9600.0,6.99,0.03,2,562.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,301136.0,0,25000.0,13.49,0.08,4,664.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
25,15162.0,1,3000.0,11.01,0.2,3,564.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
22,69042.0,0,28000.0,11.01,0.41,2,598.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
21,15307.0,0,3000.0,13.61,0.2,3,557.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
23,79183.0,0,28000.0,7.9,0.35,2,677.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
26,102654.0,4,28000.0,7.49,0.27,3,690.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
26,15229.0,1,6100.0,7.51,0.4,3,599.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
22,106566.0,0,28000.0,9.91,0.26,3,604.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
21,15252.0,0,4200.0,13.48,0.28,4,663.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
22,15432.0,3,4750.0,7.14,0.31,2,601.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
24,100332.0,1,28000.0,15.99,0.28,4,634.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
24,300951.0,2,18000.0,12.98,0.06,3,671.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
25,121062.0,1,28000.0,12.69,0.23,3,622.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
26,133372.0,1,28000.0,8.9,0.21,2,538.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
26,15505.0,0,2700.0,11.01,0.17,4,587.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
22,130852.0,0,28000.0,11.01,0.21,4,683.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
23,182316.0,0,28000.0,11.11,0.15,2,634.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,83853.0,3,27600.0,11.01,0.33,2,690.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
21,15394.0,0,3250.0,15.68,0.21,3,518.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
22,85243.0,0,27500.0,13.06,0.32,3,583.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
22,288907.0,2,25000.0,11.01,0.09,2,617.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
26,89074.0,4,27050.0,15.62,0.3,2,668.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
24,100509.0,2,27000.0,13.49,0.27,2,673.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
24,88950.0,3,27000.0,11.01,0.3,3,706.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
23,75894.0,1,26000.0,11.71,0.34,2,536.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
23,145092.0,0,25600.0,12.69,0.18,3,557.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
24,15928.0,1,1600.0,13.57,0.1,3,689.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
22,73131.0,3,25475.0,10.99,0.35,3,681.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
25,281501.0,4,20000.0,14.27,0.07,4,623.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
24,281775.0,0,20000.0,8.88,0.07,4,595.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
26,281792.0,1,21600.0,12.18,0.08,3,584.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
25,266090.0,4,11900.0,14.42,0.04,3,669.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
26,279664.0,3,25000.0,14.17,0.09,2,642.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
25,277017.0,4,35000.0,13.99,0.13,4,622.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
23,100756.0,0,25300.0,10.99,0.25,3,689.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
22,16218.0,1,2000.0,5.42,0.12,4,614.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
25,16211.0,2,1750.0,13.61,0.11,3,597.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
21,51922.0,3,25000.0,12.73,0.48,3,673.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,50309.0,3,25000.0,11.01,0.5,3,625.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
25,16378.0,0,3000.0,12.87,0.18,4,603.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
24,16572.0,0,3650.0,9.91,0.22,3,589.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
26,272201.0,5,20000.0,11.49,0.07,4,670.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
25,271324.0,3,30000.0,19.91,0.11,2,637.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
26,256862.0,2,35000.0,10.65,0.14,2,643.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
24,271342.0,0,6000.0,11.01,0.02,4,508.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
24,16470.0,2,4500.0,11.83,0.27,4,643.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
23,16599.0,0,2400.0,13.49,0.14,2,505.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
22,51608.0,0,25000.0,14.59,0.48,2,593.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
26,58516.0,6,25000.0,9.64,0.43,4,686.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
25,16395.0,4,3600.0,14.59,0.22,3,646.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
22,16890.0,0,4750.0,11.01,0.28,3,645.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
25,51747.0,3,25000.0,16.35,0.48,3,697.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
21,59864.0,0,25000.0,10.99,0.42,2,648.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
25,270972.0,1,25000.0,18.67,0.09,2,640.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
26,270870.0,5,3000.0,9.32,0.01,4,681.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,270729.0,0,7500.0,8.63,0.03,2,646.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
26,270877.0,4,25000.0,10.08,0.09,2,615.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
22,60501.0,0,25000.0,11.83,0.41,3,687.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
23,60754.0,1,25000.0,7.9,0.41,3,650.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
25,60829.0,0,25000.0,5.99,0.41,2,588.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
24,53825.0,2,25000.0,15.33,0.46,2,652.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
23,60801.0,0,25000.0,11.83,0.41,4,658.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
22,60747.0,0,25000.0,10.36,0.41,2,634.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
22,61029.0,0,25000.0,12.23,0.41,3,623.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
22,63236.0,0,25000.0,11.11,0.4,4,635.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
23,17149.0,0,4950.0,7.9,0.29,4,531.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
24,265066.0,4,25000.0,11.58,0.09,2,665.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
23,260205.0,2,21000.0,8.9,0.08,3,703.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
25,260035.0,5,25000.0,16.07,0.1,3,585.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26,260444.0,4,20000.0,14.22,0.08,2,594.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
23,258980.0,0,35000.0,14.79,0.14,3,618.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
26,259081.0,2,12000.0,7.88,0.05,2,626.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23,63497.0,0,25000.0,13.22,0.39,2,695.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
26,56325.0,2,25000.0,11.86,0.44,4,690.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
22,64842.0,0,25000.0,13.43,0.39,4,574.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
26,57856.0,0,25000.0,15.28,0.43,2,602.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,57318.0,0,25000.0,17.93,0.44,2,679.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
23,16916.0,2,1400.0,9.25,0.08,4,615.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
21,16664.0,0,4500.0,12.98,0.27,4,601.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
22,252803.0,0,16000.0,10.62,0.06,4,577.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
26,253061.0,3,22000.0,11.83,0.09,4,588.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
26,58602.0,8,25000.0,18.43,0.43,2,595.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
22,67012.0,2,25000.0,11.01,0.37,4,653.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,66643.0,3,25000.0,11.01,0.38,4,663.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
23,66599.0,0,25000.0,11.36,0.38,3,653.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
23,67212.0,2,25000.0,15.65,0.37,3,598.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,66918.0,1,25000.0,13.22,0.37,4,630.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
26,68066.0,2,25000.0,12.87,0.37,2,637.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
24,245545.0,1,20000.0,13.04,0.08,3,660.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
23,229083.0,0,22000.0,17.58,0.1,3,639.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
23,17859.0,0,7750.0,17.04,0.43,4,626.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
24,72608.0,3,25000.0,10.99,0.34,3,612.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
24,73073.0,1,25000.0,11.11,0.34,3,628.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
26,65880.0,2,25000.0,14.83,0.38,2,592.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
23,17755.0,1,4000.0,11.01,0.23,3,580.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
24,241180.0,3,12000.0,12.69,0.05,2,634.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
24,240894.0,3,12000.0,13.49,0.05,2,678.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
21,240980.0,0,16000.0,14.65,0.07,4,557.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,65742.0,3,25000.0,16.82,0.38,4,672.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,72713.0,0,25000.0,12.73,0.34,3,613.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
23,72627.0,3,25000.0,10.25,0.34,4,566.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
21,72843.0,0,25000.0,10.99,0.34,4,718.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
25,75504.0,4,25000.0,12.73,0.33,2,484.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
22,68824.0,0,25000.0,14.96,0.36,3,634.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,241167.0,2,28000.0,11.01,0.12,2,653.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21,241060.0,0,25000.0,13.99,0.1,2,699.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
24,240855.0,0,24000.0,7.49,0.1,4,656.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
26,241030.0,3,15000.0,14.79,0.06,3,626.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,240895.0,2,15500.0,11.99,0.06,2,659.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
24,240932.0,4,10000.0,8.49,0.04,4,604.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
24,80145.0,1,25000.0,9.91,0.31,2,636.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
22,80303.0,0,25000.0,13.06,0.31,3,554.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
22,241048.0,0,9000.0,6.17,0.04,4,587.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
25,241005.0,4,18000.0,16.32,0.07,3,708.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
25,240768.0,2,12000.0,10.38,0.05,2,669.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
25,241201.0,2,23050.0,14.35,0.1,3,578.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
24,240920.0,5,20000.0,11.01,0.08,3,615.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
24,72919.0,1,25000.0,11.01,0.34,2,553.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
21,18008.0,0,3000.0,11.01,0.17,4,635.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
26,81238.0,3,25000.0,15.21,0.31,2,531.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
23,80868.0,1,25000.0,7.9,0.31,4,621.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,81537.0,1,25000.0,10.99,0.31,3,674.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
24,82741.0,0,25000.0,14.09,0.3,3,688.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
25,83901.0,3,25000.0,17.49,0.3,2,597.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
25,240717.0,1,12000.0,11.48,0.05,3,640.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26,226744.0,0,20000.0,17.74,0.09,2,621.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
26,241114.0,5,3000.0,13.92,0.01,3,608.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
25,85284.0,3,25000.0,15.21,0.29,3,653.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
